sla_incumplido,Tiempo_Resolucion_horas,Impacto,Prioridad,Nivel_1_Categorizacion,Nivel_2_Categorizacion,Nivel_3_Categorizacion,Servicio,Tipo_Incidencia,Fuente_Reportada,Tipo_Solucion,Categoria_Resolucion,Total_Transferencias,Indisponibilidad_Minutos,Reapertura,Incidente_Mayor,anio,mes,dia_semana,hora_creacion,es_fin_de_semana
0,70.67222222222222,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,3,18,0
0,27.55,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,5,0.0,No,,2025,8,3,19,0
0,24.83388888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,1,13.0,No,,2025,8,4,4,0
1,79.18583333333333,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,2,374.0,No,,2025,8,4,7,0
1,79.18583333333333,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,4,7,0
0,28.65861111111111,4-Menor/Localizado,Baja,Conectividad,Networking,Apertura Simple,Conectividad Nacional,Restauración de servicio a usuario,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,7.0,No,No,2025,8,4,10,0
1,76.605,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,158.0,No,,2025,8,4,10,0
1,76.5736111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,376.0,No,,2025,8,4,10,0
1,292.3225,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,64.0,No,,2025,8,4,10,0
1,100.28888888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,64.0,No,,2025,8,4,10,0
